SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;
784 ;4:43,00 ;7402 ;12 ;99;25;0,500 ;39,6 ;0,0 ;39,7 ;16,3 ;1,000 ;0 ;4,60 ;5,21 ;11,8 ;-44 ;0 ;0 ;
784 ;4:43,10 ;7621 ;12 ;99;24;0,500 ;40,8 ;0,0 ;40,8 ;72,4 ;1,000 ;0 ;4,63 ;5,32 ;11,8 ;19 ;0 ;0 ;
784 ;4:43,20 ;7780 ;12 ;99;23;0,500 ;42,0 ;0,0 ;41,6 ;12,8 ;1,000 ;0 ;4,62 ;5,57 ;11,7 ;-52 ;0 ;0 ;
784 ;4:43,30 ;8002 ;12 ;99;23;0,500 ;43,2 ;0,0 ;42,8 ;8,7 ;1,000 ;0 ;4,63 ;5,62 ;11,7 ;-60 ;0 ;0 ;
784 ;4:43,40 ;8177 ;12 ;99;22;0,500 ;44,3 ;0,0 ;44,1 ;51,6 ;1,000 ;0 ;4,58 ;5,80 ;11,8 ;3 ;0 ;0 ;
784 ;4:43,50 ;8344 ;12 ;99;23;0,500 ;45,3 ;0,0 ;45,0 ;60,3 ;1,000 ;0 ;4,60 ;5,76 ;11,6 ;7 ;0 ;0 ;
784 ;4:43,60 ;8538 ;12 ;99;24;0,500 ;46,5 ;0,0 ;45,6 ;60,3 ;1,000 ;0 ;4,57 ;6,00 ;11,5 ;5 ;0 ;0 ;
784 ;4:43,70 ;8692 ;12 ;99;25;0,500 ;47,9 ;0,0 ;46,7 ;60,3 ;1,000 ;0 ;4,62 ;6,00 ;11,8 ;4 ;0 ;0 ;
784 ;4:43,80 ;8975 ;12 ;99;24;0,500 ;49,2 ;0,0 ;47,3 ;27,6 ;1,000 ;0 ;4,59 ;6,13 ;11,6 ;-33 ;0 ;0 ;
784 ;4:43,90 ;9241 ;12 ;99;23;0,500 ;51,0 ;0,0 ;48,8 ;27,6 ;1,000 ;0 ;4,61 ;6,29 ;11,8 ;-35 ;0 ;0 ;
784 ;4:44,00 ;9576 ;12 ;99;24;0,500 ;53,0 ;0,0 ;51,5 ;21,4 ;1,000 ;0 ;4,58 ;6,31 ;11,6 ;-45 ;0 ;0 ;
784 ;4:44,10 ;9941 ;12 ;99;25;0,500 ;55,0 ;0,0 ;53,0 ;9,8 ;1,000 ;0 ;4,60 ;6,41 ;11,8 ;-62 ;0 ;0 ;
